Transaction ID,Item ID,Customer ID,Purchase Date,Quantity,Rating
aSPCv0AGUW,2e809516-0451-49ac-84da-41154df0012f,e6a39996-d2f3-4713-a417-083f19002944,2022-05-18,1,3.0
iRza4mz7BC,7acfe326-8535-4eef-be41-6943e4f776ff,18d46cd2-f847-4b68-b678-659e8ce80ef0,2022-06-13,2,4.7
MYBd66rYsX,fc29a8c3-e8a2-41ef-9313-cd664db81f74,6c8c7479-a7af-4ac1-8559-86e359bfa96e,2022-09-17,2,2.3
oVBCsl9tZc,3c5b28de-a03f-44a2-9705-6a50ff712411,bc643b49-4220-41ad-b2d5-f2bce4e6192f,2022-09-13,5,1.3
UiRhFxTGS3,2d925dfa-0bb2-4a6b-9e2f-1dc04aaa2fb8,55b54e66-203d-4e0a-a1ba-50a50c836ca1,2023-08-03,4,4.7
3k6bbXM0zn,793224c3-7caf-4835-95a3-5a64f8435470,43630225-3995-403a-b2e5-2a24822954a6,2023-02-05,2,2.0
9WWFfy2Mpt,0c6b9226-f437-48f1-ab5a-c3de2bcb8797,0df9a664-8a51-4c20-8620-4d03cf7d329a,2021-11-26,3,4.3
0DgLfPrtn8,36820ff6-74a3-4125-aa9e-4d956d0f9be7,6ff15b8a-fed7-4cea-a362-3d33ea8ea80c,2022-09-05,2,2.4
LCZHeCyKb8,32fa2dfb-1d66-4226-a4f4-2fc1ab9b80fb,cda9540e-4f1f-4a4f-a6e5-67808c56a74c,2023-01-11,5,2.1
qcGqiT49vy,2f3aa1f7-df05-4191-8d45-91aa1b51ce9c,e3d14b84-bc3a-4f59-ad14-21bac8dbf005,2023-03-12,3,4.6
5mXLW1o37f,603263a4-8f68-439e-bb55-b23cbff13812,f0a55b8d-b8f7-4f84-8a53-284790560b94,2022-12-27,2,4.7
uFBc84KjqZ,cebc0561-e72d-43e1-beb6-e05885a9a230,f818a85d-2500-4388-8ec9-02f91021d218,2023-02-13,2,3.9
V3y3qYF3Mk,f3fe7e59-d8d4-45f3-a8e2-672660d7c3b6,5d4004d1-2613-4386-b278-8018de9a1d7b,2022-05-31,5,4.9
iMcnNtOnJ6,0e0429de-702e-4041-a6ed-a37a648ad89b,18e93a6f-fddd-4c7d-a27c-bd136025faf4,2022-07-21,4,3.8
1kV4dcjAcf,e2bd8a65-bfba-41b3-892f-09972cfb15ce,48572d56-13ff-47d9-9ec6-deb24a5cd89a,2021-12-19,3,4.8
lAJ4BauEKw,2f3aa1f7-df05-4191-8d45-91aa1b51ce9c,94116f7e-3ca2-420e-93c8-e224c008aa61,2022-06-12,5,2.2
xClQ0s3Shq,6c618aa5-e675-45b5-906e-4c8b1c69550a,0b5d9fae-bb6d-43b8-8ebd-83e114a7229c,2022-09-08,1,3.8
qXhiANDSPU,f5112e2e-6745-4245-ab5c-6c6c72e65331,620cfb3d-a66c-4943-b103-2c1bf79f25f1,2022-04-24,2,2.7
DhQNLkBl4N,df641ed3-587b-4aa6-b302-911ad933f5c0,15df4d67-ebf7-46ea-a731-9ea4c4fc0e82,2022-10-31,2,1.1
vmQ5VclVeb,aebdc8fb-76b0-41ef-a428-fd115a0b6480,5bec0656-5018-4bb9-9b8f-36e82256b917,2022-07-16,3,1.3
om3qPpxclf,ef31a87f-3749-44d4-8003-0367927e5a4e,06f63c65-0a6a-4007-b8c0-abc898de436f,2022-02-24,3,0.8
uV2qxJ8SFm,20d3ddfb-ceab-40d1-bae2-7982df53c84e,620cfb3d-a66c-4943-b103-2c1bf79f25f1,2023-05-18,4,1.4
NsoHeBJszG,f3a13f65-a91e-49ea-b650-d2b090eaffd1,7dbff256-3cb5-4092-af28-84e84ded4042,2021-11-03,3,1.2
nTLrRYDkNX,592019af-0cd9-41f2-87ba-7fac0d812f60,a568c8a0-f96c-430c-9251-ba4dba4ed313,2021-11-01,1,0.5
DneuJ0ISmG,ec37a0e9-25d7-49e1-8cbd-346a599c2885,6cfe0663-3f6f-4bbe-bf7b-697076093aa6,2023-08-17,5,1.2
EiSZh7z8bZ,2d925dfa-0bb2-4a6b-9e2f-1dc04aaa2fb8,efd437ed-67ec-4ae7-85e0-71e0c9980efc,2022-08-09,1,2.2
LIalw7BfDR,d82ba51b-01f7-4095-b942-b3935727dfd1,fb9af56c-2df1-4339-a481-e429e011b310,2023-04-24,3,2.7
qWieofrZc0,f2e11ea9-862f-4ccd-8099-94be05031aa4,bc79484b-21a6-4186-8ece-40f3774d1029,2022-02-24,1,2.9
RAm02DpwcA,6c618aa5-e675-45b5-906e-4c8b1c69550a,ef6ef10a-9e38-4000-8488-b4c8ac0ac708,2022-06-11,3,3.9
IjHyLuQl19,dcc11d19-c063-4851-945e-f23041a78e01,76b85c9a-3f1f-4350-99e4-38abaf80700b,2023-05-10,1,2.6
eLogjBuijJ,ad037b21-9978-4ce5-a17a-8714a1931edc,f5dcdaa3-aa02-4c3e-b8ae-254a86e7d79a,2023-08-20,2,2.1
miyNsqU6Xo,59d22c7a-a7a8-4828-ace4-46fb3d2ce394,4336a44b-bfac-4dc0-afcd-ff4dd82090a0,2023-07-27,4,3.0
wBNLCUacGV,ec37a0e9-25d7-49e1-8cbd-346a599c2885,04ac04f5-7d94-4003-9740-f655a064b768,2023-01-28,1,2.5
R8X12Nvt0b,26413757-4cd6-4138-aff4-8ed76dbf87be,ec328c23-b839-4fa1-8a5f-9c4611c294b8,2022-04-30,2,1.2
RLL2sjJtx8,f47d09b9-06fe-48b5-bb7f-b39eb83fb64b,821775af-28b1-4004-bd6e-05a4925170d2,2023-04-24,2,1.9
MBBZ3TxkML,d868ceb4-4087-4f22-a2bc-72a5cd34394d,7c31d3cc-78d8-4dfd-8829-c9b0640fdbcc,2021-12-21,4,2.9
sOx3trlrGg,98c8867a-8163-4987-9f2c-b85787c246e0,1c9d9591-1de1-4b4b-812e-8a61203c4217,2022-09-22,3,4.1
LiP1qq5UuG,f3fe7e59-d8d4-45f3-a8e2-672660d7c3b6,5cae5121-bb43-492e-9202-04d50358efc2,2021-12-22,2,4.6
E0cdoOcnMp,e8613851-d5f7-43ee-8301-a8c36b1b61c5,f863d4e9-7e95-4309-ac53-1a0a46a16f40,2022-04-18,2,3.4
p4MnyjQ4Rc,a57b018c-c21b-4f3a-bcc1-a00d26918aa1,4cd1ede3-fcb4-40a1-8d95-52552058e6cb,2022-01-19,2,4.6
3WxVO1FKiQ,4bd43679-5192-4230-a1d6-5630577d108f,9925f06a-6ba5-44b7-b128-479852476c4c,2021-09-16,5,1.7
wjrxXANSR4,feae7cd0-6fea-47f4-b26e-45406ba45972,66eda8cc-bf54-436e-ad07-c6090c09b263,2023-01-14,4,1.1
vwNX6a0cnX,289dbb79-7d38-4ad2-8d4d-60398857359c,59fa524d-ba7d-4b7e-b254-64718ab021e0,2021-11-03,3,1.3
8LGqpV8Mp2,39c38ff2-7bc7-4019-872a-cd9e4a46ebdb,da4dc148-7977-4e48-af9d-72ffa7a9fa26,2023-02-02,1,0.6
zGRdcclqGO,6270ed69-d547-4814-bcb3-8af00de8dfc7,96a2729a-40e8-4ba5-ba79-3fcf0c51c97b,2023-05-18,1,4.3
N0CQK1susU,3c5b28de-a03f-44a2-9705-6a50ff712411,99f8bac0-7bdc-455b-8d41-90effc79b682,2021-09-18,1,3.4
mcHMNf1Nkp,b2fd75b0-de3a-4d4f-ae3b-ca4a02b30ea5,92ebfa70-52f7-461f-9e1e-b40d78964c9d,2021-10-03,3,2.0
q7xKyOFlvb,8a3704fd-ce3a-4fe2-aa23-21addfd4a5bd,02d47775-52d4-4f88-abdd-e363debedd6c,2022-04-24,5,4.9
KUNQWB99Ep,c6c5a47d-61e6-4c11-9e3f-64182dc51ab9,f079ad1a-4939-42e0-8874-6e2455af13ae,2023-01-20,3,2.1
JXbEE909op,a2dc50b8-9c25-475d-8e36-59d0d07d5640,c388d6d7-8de6-4bde-8a72-1e8c91c2c7b5,2023-01-02,5,1.4
b9GU3W3RbK,62bc44be-d74e-4a25-adae-ce42d1e6fdff,36ec0706-e9c8-4992-aa52-45f8a5fcfb9f,2023-01-12,2,3.0
tGfyNxTLMp,900d7870-6ecd-4ae1-9065-100108ac6c7d,68d41296-a7bc-4a18-aca7-cbb1801149a7,2021-11-11,2,1.3
Gr25QFOQ8Y,02df103e-d3e9-4ced-ae6c-ac57443d2e8b,f987ed77-f2e4-48fe-9542-dce0bca2b366,2022-09-12,1,2.8
n39Xq6RuF3,3d2d37c0-ce0b-47a5-b829-2bcb3b555034,3e28d4fc-645b-4b41-b136-e9c35b6a5fe4,2022-09-24,3,4.9
UnLFIkJrem,71628224-77a7-4267-ab7c-701feec73dcd,75f7c90b-fc22-49bf-a696-d4f5f27f4b65,2021-11-25,4,0.5
VdHN4Bsxzo,ff207113-5bea-4381-a574-dad7d5bb390c,d1a52734-7538-416f-b6f1-d6852e02a382,2021-09-24,1,3.0
Lwej8tEiY6,d868ceb4-4087-4f22-a2bc-72a5cd34394d,8c2a0ab7-5cae-4d3d-96b6-334208ef23b2,2023-01-07,1,3.8
lHQ1dTV3yH,c4806252-76bd-46b1-ba11-0e03ca63089a,4de7c41d-497d-44c1-a60a-cb53324a79e5,2022-07-22,2,3.7
Gf7K5W14UO,67998094-e6b3-403c-915a-1ed2243f9f5a,65575407-4091-4eb6-b139-b7b575fd0d53,2022-07-24,4,1.6
syNVydB8wV,2c15d31e-bdd2-4596-aa43-edf4e020db89,ad5473b5-723c-40a4-a0c9-d3bfd55b9d05,2022-05-13,2,3.2
4xbJ2FgXM4,65216dd3-05e8-47e5-a3d1-03d9722e5e8f,b6414ea2-bdc0-4c98-ae3f-4593da3569db,2021-10-19,4,1.3
YCSg4ElobK,d13d9cef-4824-4fd2-8004-36b1034109ec,bc643b49-4220-41ad-b2d5-f2bce4e6192f,2022-09-25,4,2.5
COaUj3sq5P,a7ae08f6-b0c4-4782-984e-fe4565ce8643,07792ef0-8058-459f-8de4-509f9e946212,2023-01-12,2,4.6
zZejqEWpJr,71628224-77a7-4267-ab7c-701feec73dcd,d4df846d-a60b-4ff2-ae6e-b6596cd43614,2022-08-14,5,4.7
5HXDhblu9A,846e0162-8bea-46c2-bed4-47c8ac6ca64c,f02409e1-4a6d-4dcd-9da1-bf8a3239ede0,2022-05-04,3,2.5
HR5XdJPssG,ef31a87f-3749-44d4-8003-0367927e5a4e,583c171f-2dd3-4121-99ea-d98db4f86e3b,2022-05-19,2,4.3
2s8q9M7jQG,9bca7ac0-d91a-4ee8-8df9-7e171631b051,314609fc-c650-4a4e-bcba-ff1e11654fe5,2023-01-22,1,3.4
opzhcK8vM0,c820ec5f-b6c9-4f57-93b4-e34f131b4a28,b6414ea2-bdc0-4c98-ae3f-4593da3569db,2023-07-01,5,1.1
FJkk4qmlU9,c4806252-76bd-46b1-ba11-0e03ca63089a,af51c686-18a6-4769-be43-c41456ecfd8a,2023-03-09,2,4.3
BkOtLv5OFT,5a317faa-fbe5-4a2b-aae9-9b4c333568a3,5d963f50-d1c5-4a84-814c-ff5913a44b66,2022-10-10,5,4.9
NPMQySAttJ,71628224-77a7-4267-ab7c-701feec73dcd,ea3183cb-1142-4398-ba9a-4b21298ae9a3,2023-03-31,3,1.3
J6jCqCnoXk,7df4307b-0849-43fb-b7f1-6b400a0a57df,f4bd56b2-e1a3-4180-8a1c-9fdb5a89797f,2022-02-21,3,4.1
NBCHoV25aW,846e0162-8bea-46c2-bed4-47c8ac6ca64c,fb6a91a9-5258-4971-b3b2-cd763ce2a86a,2022-03-30,4,5.0
8GwkDZ278Y,1e2aa202-75dd-4837-9925-dffc6361af45,5f0d15b8-5bd5-40d4-9ded-100b642764d1,2022-02-01,5,1.9
